ESTADO;ANO;População total;Homens;Mulheres;Nascimentos;Óbitos;Taxa de Crescimento Geométrico;Taxa Bruta de Natalidade;Taxa Bruta de Mortalidade;Esperança de Vida ao Nascer;Esperança de Vida ao Nascer - Homens;Esperança de Vida ao Nascer - Mulheres;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil - Homens;Taxa de Mortalidade Infantil - Mulheres;Taxa de Fecundidade Total;Razão de Dependência - Jovens 0 a 14 anos;Razão de Dependência - Idosos 65 ou mais anos;Razão de Dependência;Índice de Envelhecimento
ACRE;2013;805014;403747;401267;17142;3930;1.64;21.29;4.88;72.89;69.66;76.56;19.18;20.93;17.34;2.41;54.34;7.16;61.5;13.1
ACRE;2014;818273;410212;408061;17857;3961;1.65;21.82;4.84;73.26;70.02;76.9;18.37;20.03;16.62;2.46;52.7;7.25;59.94;13.68
ACRE;2015;831665;416747;414918;17461;3995;1.64;21;4.8;73.61;70.37;77.23;17.63;19.21;15.97;2.37;51.14;7.35;58.48;14.24
ACRE;2016;844137;422813;421324;16068;4019;1.5;19.03;4.76;73.94;70.7;77.54;16.95;18.46;15.37;2.15;49.41;7.47;56.88;15.24
ACRE;2017;856457;428803;427654;17213;4061;1.46;20.1;4.74;74.25;71.01;77.83;16.34;17.78;14.83;2.26;47.74;7.6;55.34;15.96
ACRE;2018;869265;435044;434221;17136;4122;1.5;19.71;4.74;74.55;71.31;78.1;15.78;17.16;14.33;2.22;46.26;7.75;54.02;16.67
ACRE;2019;881935;441216;440719;17047;4178;1.46;19.33;4.74;74.83;71.6;78.36;15.27;16.6;13.88;2.18;44.96;7.92;52.89;17.69
ACRE;2020;894470;447320;447150;16975;4240;1.42;18.98;4.74;75.09;71.87;78.6;14.81;16.09;13.48;2.14;43.66;8.1;51.76;18.4
ALAGOAS;2013;3247527;1568655;1678872;54896;22782;0.52;16.9;7.02;70.44;65.78;75.28;24.03;25.47;22.51;1.88;42.28;9.73;52.01;23.02
ALAGOAS;2014;3263524;1574565;1688959;53428;22759;0.49;16.37;6.97;70.84;66.15;75.69;22.36;23.58;21.07;1.82;40.86;9.92;50.78;24.35
ALAGOAS;2015;3279222;1580342;1698880;53802;22771;0.48;16.41;6.94;71.23;66.53;76.07;20.86;21.89;19.77;1.83;39.56;10.13;49.69;25.76
ALAGOAS;2016;3293629;1585481;1708148;50391;22792;0.44;15.3;6.92;71.6;66.89;76.44;19.53;20.41;18.6;1.71;38.33;10.36;48.69;27.13
ALAGOAS;2017;3307532;1590391;1717141;52398;22863;0.42;15.84;6.91;71.97;67.24;76.8;18.34;19.09;17.55;1.77;37.18;10.61;47.79;28.57
ALAGOAS;2018;3322379;1595815;1726564;51984;22986;0.45;15.65;6.92;72.32;67.59;77.13;17.29;17.94;16.61;1.76;36.2;10.89;47.08;30.08
ALAGOAS;2019;3336911;1601112;1735799;51523;23106;0.44;15.44;6.92;72.65;67.93;77.46;16.37;16.93;15.78;1.75;35.36;11.18;46.54;31.54
ALAGOAS;2020;3351092;1606269;1744823;51049;23241;0.42;15.23;6.94;72.98;68.26;77.76;15.56;16.04;15.04;1.74;34.59;11.49;46.08;33.33
AMAPÁ;2013;744809;373140;371669;16591;3282;2.31;22.28;4.41;73.09;70.34;76.08;23.88;24.28;23.47;2.38;50.77;5.56;56.33;11.08
AMAPÁ;2014;762156;381800;380356;16746;3356;2.33;21.97;4.4;73.38;70.69;76.31;23.67;24.05;23.25;2.35;49.25;5.63;54.88;11.32
AMAPÁ;2015;779416;390417;388999;16681;3418;2.26;21.4;4.39;73.66;71.02;76.53;23.45;23.84;23.04;2.29;47.82;5.72;53.54;11.9
AMAPÁ;2016;796419;398904;397515;16484;3483;2.18;20.7;4.37;73.93;71.33;76.74;23.24;23.62;22.83;2.22;46.28;5.84;52.11;12.5
AMAPÁ;2017;813084;407218;405866;16264;3550;2.09;20;4.37;74.19;71.62;76.94;23.03;23.41;22.62;2.15;44.9;5.98;50.88;13.42
AMAPÁ;2018;829494;415402;414092;16239;3624;2.02;19.58;4.37;74.43;71.9;77.14;22.82;23.2;22.41;2.11;43.59;6.15;49.75;14.09
AMAPÁ;2019;845731;423498;422233;16202;3704;1.96;19.16;4.38;74.66;72.17;77.33;22.61;22.99;22.21;2.07;42.46;6.35;48.81;15.09
AMAPÁ;2020;861773;431494;430279;16139;3789;1.9;18.73;4.4;74.88;72.41;77.52;22.41;22.79;22;2.04;41.57;6.57;48.14;15.66
AMAZONAS;2013;3751293;1887797;1863496;83861;20356;1.82;22.36;5.43;71.17;67.98;74.7;20.03;22.04;17.91;2.46;49.68;6.56;56.24;13.21
AMAZONAS;2014;3819636;1921573;1898063;86433;20662;1.82;22.63;5.41;71.42;68.2;74.98;19.38;21.38;17.28;2.49;48.48;6.64;55.12;13.74
AMAZONAS;2015;3887740;1955183;1932557;84097;20954;1.78;21.63;5.39;71.67;68.42;75.25;18.77;20.76;16.69;2.39;47.46;6.74;54.2;14.29
AMAZONAS;2016;3952171;1986871;1965300;79746;21202;1.66;20.18;5.36;71.91;68.64;75.51;18.21;20.17;16.14;2.24;46.32;6.87;53.19;14.9
AMAZONAS;2017;4015812;2018116;1997696;83212;21533;1.61;20.72;5.36;72.14;68.86;75.77;17.67;19.62;15.62;2.31;45.4;7.02;52.42;15.44
AMAZONAS;2018;4080611;2049916;2030695;82900;21920;1.61;20.32;5.37;72.37;69.07;76.01;17.17;19.11;15.13;2.28;44.69;7.2;51.89;15.99
AMAZONAS;2019;4144597;2081262;2063335;82462;22295;1.57;19.9;5.38;72.59;69.27;76.25;16.7;18.62;14.68;2.25;44.09;7.4;51.49;16.84
AMAZONAS;2020;4207714;2112128;2095586;82049;22688;1.52;19.5;5.39;72.81;69.47;76.48;16.26;18.17;14.25;2.22;43.43;7.61;51.04;17.36
BAHIA;2013;14505033;7099339;7405694;208757;101360;0.44;14.39;6.99;72.73;68.4;77.36;19.86;21.05;18.62;1.63;35.75;11.33;47.08;31.69
BAHIA;2014;14565807;7121398;7444409;210147;102078;0.42;14.43;7.01;72.99;68.62;77.65;18.95;19.99;17.86;1.65;34.69;11.55;46.24;33.33
BAHIA;2015;14629018;7144691;7484327;213747;102965;0.43;14.61;7.04;73.23;68.83;77.92;18.11;19.02;17.15;1.68;33.77;11.78;45.55;34.91
BAHIA;2016;14689684;7166690;7522994;205329;103835;0.41;13.98;7.07;73.47;69.04;78.18;17.35;18.14;16.51;1.62;32.96;12.04;45;36.56
BAHIA;2017;14749868;7188472;7561396;213140;104810;0.41;14.45;7.11;73.71;69.25;78.43;16.64;17.35;15.91;1.69;32.26;12.31;44.57;38.12
BAHIA;2018;14812617;7211608;7601009;211097;105960;0.43;14.25;7.15;73.93;69.46;78.67;16.01;16.63;15.36;1.69;31.63;12.6;44.23;39.73
